,弹幕
811,小米直呼内行
812,吉星
813,特斯拉 
814,vmware又不是只做虚拟机
815,a12z哭了
816,抄袭安卓，抄袭华为
817,抄袭安卓
818,抄袭安卓
819,华为荣耀有被冒犯到
820,抄袭华为
821,抄袭安卓
822,抄袭安卓
823,告辞
824,抄袭安卓
825,这个功能安卓早就有了
826,抄袭安卓
827,果讯体育
828,美国果条
829,牛皮
830,这个好
831,只可惜国内上不了
832,Apple Park真的太漂亮了
833,？
834,（性能强劲 吹散羽毛）
835,腾讯什么nm
836,家族传承的刘海lol
837,后面有人踢足球。。。
838,！！！
839,我的滴答
840,Disney的id巨好用 
841,中国人表示：这个不是接收验证码的吗？
842,这个算烟鬼彩蛋吗？
843,星光色好看，银色加金色的感觉
844,什么时候可以屏蔽掉澳门赌场啊
845,真好
846,赚商家的钱？
847,把每个点做的特别细
848,鸿蒙
849,这两个，真是电脑界的 屠龙刀配倚天剑
850,胀恁愣，久违了
851,尼玛装上了还给你
852,这个蓝胖子最狡猾，挤牙膏的主力军，你把studio的芯片搞上去不就完事了么，还M2、M4、5、6的这么挤
853,John就是“胀恁愣”的意思，你俩正好可以一起“胀恁愣”
854,燕子 燕子 燕子
855,useful
856,这身衣服如何上卫生间呢？
857,关键是可以远程关闭
858,母公司下放
859,？？？
860,像2077等还是算了吧
861,？？？
862,后面不是玻璃吗
863,similar with iwatch screen background
864,这个大！
865,前面的人家是以色列人有口音正常
866,…
867,……
868,苹果要搞汽车？
869,我没记错iOS7的时候就是专辑封面大图的，啊哈啥
870,《遗           照》
871,华为：这个我知道
872,华为
873,笑死中国用不了
874,为什么这老哥说的英语我听不懂
875,长城和比亚迪？？
876,这个大！
877,这不是烟鬼……这是Odesza
878,前面的，叫apple watch
879,还不错吧，能个性化了
880,绝了
881,Gv
882,"确实,应该把消息合起来"
883,非常先进的耳机接口
884,M1试水M2就开始收割了
885,国内车企的车机
886,烟鬼dacall
887,小米的我感觉难用
888,在我国NFC都少用，就别提苹果支付了
889,看来mac的part人比较少
890,家长控制功能可以说是最好的了把
891,66666
892,苹果pay呗
893,？？？
894,666
895,6666666
896,系统不就是个软件吗？
897,66666666
898,6666666
899,6666
900,来啦，各位开发产品兄弟们
901,多邻国，看见想起来今天还没学
902,越狱理由-1
903,张泰玩？
904,苹果的钱包我都不用的
905,大大滴好
906,新ipadpro看来秋季要来了
907,这个可以有
908,苹果金融
909,直呼好家伙
910,刘海是真滴厚
911,有卵用
912,你可以选13寸没刘海的MacBook Pro
913,然而贵了好几千
914,还是很丑
915,乔布斯刚发布iPad时当然不需要这些功能，但当苹果说“你的下一台电脑，何必是电脑”时，这些功能就应该已经有了
916,爷青结！
917,玩儿尬的是吧
918,这个支架，真的是only apple can design呢（棒读
919,MacBook Air那么低的功耗都能1080p
920,全都电子化不会容易出故障或被攻击吗？
921,计算器是留给17了吗
922,老罗:你们不要想是上面掉了个刘海下来，你们要想是两边闹腾的东西上去了。
923,犹太口音吧
924,amazing
925,说不定是当了高管之后才残疾的。
926,拼车
927,中国有天地图和奥维
928,赶紧把老罗的一步也抄了吧。那个功能太好用了。
929,别，安卓只是自定义，但一点不美观
930,安卓做的没有iOS好看，安卓的审美总是差点意思
931,这个好像是老罗的底裤吧。SOS早就支持了。
932,安卓什么时候玩过这个
933,耐克打钱
934,说门禁卡的，人老美用吗
935,这个外形是怎么敢和羽毛配在一起的。。
936,这老哥感冒了吧
937,对比英特尔12代低压U
938,互相学习是好事
939,蹲一手无脑果区喷前面老哥
940,小米？？？
941,这个是给自己提示用的
942,这画面是60帧
943,机8！
944,前面想Bar的那个先别走
945,No China
946,？？还能这样切换后台得？？
947,"Thank you for joining us, and let's have a great WWDC!"
948,音乐封面确实不错
949,干！
950,WTF!?
951,牛啊
952,周围用苹果的太少了，基本没啥用
953,这很小米
954,音乐起
955,MIUI：你没事吧？
956,真想无时无刻用到这些就去美国
957,哪儿不实用...这些在日常生活中都能用到啊 直接卸载其他不用的app
958,卧槽！
959,我去
960,细
961,太酷了吧
962,苹果的app别怕厂商不适配
963,我都用spark
964,真好看
965,喔哦
966,这还不薄？
967,前面的，合作的车厂马上就公布了
968,这里巴勒斯坦和美国关系就不好，也让进了
969,额，arm架构没有核显这个概念
970,楔形只是视觉上前面薄了
971,以色列人 ，母语阿拉伯语
972,但这东西不需要下载腾讯的app，方便啊
973,明明是watch玩剩下的
974,←不是有studio了吗
975,什么都要扯上罗永浩???
976,已经好久没收到澳门了
977,四指展开没用了吗
978,穿的优衣库啊
979,公费旅游是吧
980,键盘不咋地
981,我的 M1 iPad Air
982,库克今年都62了
983,极品飞车19的文图拉湾。
984,讯飞输入法
985,好复杂啊
986,好帅啊
987,问界？有海外市场吗？
988,不，再等13年
989,新葡京又有新途径了
990,这样的话所有MacBook都是齐刘海了，一步到位
991,牛
992,大爆炸？
993,？？
994,为什么不给我配字幕
995,感觉苹果确实很像安卓 或者说把安卓的功能做的更好更完善 用户体验更好
996,手机能玩吗
997,pay apple later with apple pay later
998,残疾人也能在苹果当高管
999,ikun
1000,这个改动好大，需要app配合啊
1001,智慧抠图
1002,android没玩好啊，不好用只有很少人用
1003,cities skylines 既视感
1004,一样的功能安卓体验差啊
1005,用c口也能充电啊
1006,？？？
1007,感觉苹果手机上的功能在国内只是被分散到了各个app上
1008,太漂亮了！我觉得我会买一台做视频用
1009,Johny老师的口音是哪里的啊？好像有点带德国口音
1010,抄袭就去告啊
1011,这个是以色列人
1012,实验室里的Mac Pro不见了
1013,现在通知多了也是挡壁纸啊，毕竟使用环境要看通知
1014,没见过指针在刘海两边来回跳着点选项嘛，还空着浪费？用过嘛
1015,华为已经有了。。。
1016,太好了，也太可怕。垄断了
1017,这个人估计是下一个接手库克的ceo了
1018,pro的这价格，不懂这个产品线有什么存在意义
1019,微软：快抄！
1020,国内只会加配置当卖点宣传然后割韭菜，一年后机子就不管了
1021,又是这老哥。。。这老哥不是被调去主管汽车业务了吗
1022,国内车企都是合资，不可能用的，别想了
1023,office 365...
1024,中间那个，为啥感觉别扭。我直说了，眼
1025,家乡话贼亲切
1026,blangblangblangblangblangblangblang
1027,你想多了
1028,跟手表一样
1029,卧槽？？？？？？？
1030,ios6是吧
1031,好下头的语言
1032,牛逼
1033,应该是新瓶装旧酒吧？
1034,已读显示你不开就不会有啊
1035,别人记这个爆炸头就和你记得笑哭是那个emoji一样
1036,wc
1037,我觉得这个真的很有用 每次都会不小心碰到
1038,觉得不简洁你就用默认的好了，又不是非要你自定义
1039,Intel追不上了吧
1040,传统文化，好耶
1041,没有中国差评
1042,嘴上说倒退，你用不用吧…
1043,ang?
1044,牛逼我去！
1045,试图功能我真的特别需要
1046,如果真的可以做到，那确实太厉害了
1047,堪比csgo
1048,卡婊re引擎优化不是盖的
1049,国内网站现在就算用密码登录，也还要手机验证码……不懂为什么
1050,笑的想死了 母公司技术下放
1051,M2什么时候出个带bar的mbp16寸
1052,windows电脑 啊啊啊好丑
1053,迟早会再变回去
1054,看起来就好笨重啊～～～楔形设计没了！
1055,标配羽毛
1056,腾讯个屁腾讯所有东西都是抄袭的
1057,这口音简直了
1058,第一次看到大叔穿运动装 哈哈哈哈
1059,都不实用啊
1060,苹果这样搞～完蛋了
1061,苹果好多钱买版权呀。
1062,前面的，这你还不懂吗，属于自己骗自己。
1063,可以拍草稿纸了 这样就不用低头了
1064,"安卓机个屁啊 全是apple watch搬过来的, 一模一样"
1065,国内打车app应该很快适配
1066,小米自己搞了那么久就是想搞自己的独立标准，想让步开放给苹果很难
1067,又改回去了
1068,没字幕啊
1069,看到了吧 和老mac模具比刘海区域是多出来的
1070,这个图也太丑化Windows电脑了吧哈哈哈
1071,很多自媒体连比例变了都不知道就黑哈哈哈哈
1072,不是刘海占屏幕空间 而是刘海两侧向上延伸 算是额外的空间留给finder栏 
1073,还可以玩游戏？ 牛逼啊
1074,意思是之后小米就是穷人神器了 其他大品牌智能家居只能用兼容matter的kit
1075,小米廉价方案体验太差了 不如wifi
1076,这玩意可比米家早多了好吧
1077,办个公其实够了，做工好
1078,这个演示都掉帧。。。服了
1079,努力追赶Google map
1080,模拟人生
1081,这才是ai
1082,no way in china
1083,流汗黄豆
1084,设置途经点这个有什么新意吗？
1085,no way in china
1086,安卓继续出来挨打
1087,说安卓的继续出来挨打
1088,苹果也有水军？
1089,来来说安卓那个出来解释解释哪款ui有这功能？
1090,语音输入吗？
1091,啥烟鬼啊，这是ODESZA
1092,败笔。。。
1093,变丑了
1094,变厚了
1095,。。。。。刘海
1096,这是直接在设备端完成的  不需要联网上传好吧
1097,不简洁
1098,好丑啊
1099,Riptide
1100,对性都没有什么要求的，还是买M1带的比较好。
1101,大BYD呢
1102,当然仅限美国
1103,绿米
1104,牛牛
1105,在窗口管理这块，windows的逻辑明显要简单多了...
1106,iWeChat吗这是
1107,这不全都android玩剩下的
1108,牛逼
1109,mijia
1110,好新鲜啊
1111,阿这。。。。
1112,apple先让别的车企试验
1113,安卓都玩烂了
1114,就是不加计算器
1115,该死，不要再散发魅力了！！！！
1116,？？？？？/
1117,抄袭的微软的白板
1118,大爆炸
1119,TNT+1
1120,新3系会有
1121,高级
1122,太强大了
1123,咋么升级啊？
1124,我dock栏在左边啊，干
1125,卧槽
1126,最先用这个概念并且用得好的软件是 Notion
1127,他要接位库克么
1128,这个demo的帧率。。。
1129,嗯？
1130,苹果牛逼
1131,smb支持改端口就好了
1132,可是能查看大小了
1133,怪不得福特根本不用心做车机
1134,这外观一点不Air
1135,乔布斯的棺材板要压不住了
1136,集显？
1137,以后游戏厂商要多一个平台了就是苹果
1138,好卡
1139,？？？？？
1140,牛逼
1141,英文发布会听到日文
1142,这要是啪嚓了可咋整
1143,以前右键桌面有通过手机拍照 就是换个方式
1144,做到极致笑死，苹果抄袭就是抄到极致
1145,牛逼
1146,环保。。。
1147,耳机孔非常先进
1148,公司越来越大了
1149,视频编辑神器
1150,谁说的，这就是印度阿三的口音好吧
1151,炒冷饭
1152,他的口音很难懂
1153,老罗裤衩都没了
1154,越来越复杂了
1155,？？
1156,啥玩意儿
1157,农历 -&gt; Chinese 好评
1158,看起来宽高没有限制
1159,小米国际市场不行
1160,希望国内厂商也能有这样的引领格局和创新
1161,在外面酒店也不会被知道位置
1162,捉奸失败
1163,你拍的照片被孩子共享修改掉
1164,家庭控制手游可以不充钱了
1165,地图新闻都取代第三方app了，都自己来
1166,青少模式：这个我熟！！！！
1167,中欧和东欧口音，哪里印度了？
1168,母公司震怒
1169,你家半残废的nfc我都不想吐槽了
1170,拍下别人的编程过程得到代码
1171,太超前了
1172,抖音
1173,第五人格不是在里面嘛
1174,老罗
1175,因为国外实行居家办公，需要更多的远程协助
1176,Windows 11 乱入
1177,个人直播点对点
1178,老了，只认识37个
1179,老了，只认识37哥
1180,老罗的裤衩
1181,window 的多个桌面
1182,honda都有
1183,这几年苹果很爱飞啊
1184,酒店，租房租车，挺有意思的
1185,还得买拓展坞
1186,就个耳机孔？
1187,卧槽？
1188,zz正确
1189,Love Apple
1190,俗称，防渣男功能
1191,开发者对苹果的适配肯定是最积极的。
1192,特斯拉就是逊啦
1193,对标小米
1194,watch不想卖了吗
1195,让你户外拿电脑办公的公司也别待了
1196,那你买M1呗
1197,赋能？我以为这只是国内互联网公司的通病呢。没想到已经传染给苹果了。
1198,听起来像是越南口音
1199,这个壁纸是真不错
1200,厉害
1201,未来CEO
1202,哈哈哈哈哈哈哈哈哈哈
1203,这是特效吗，太酷了
1204,确实牛逼
1205,Chinese yes！！
1206,按照内容滤过吗 有点可怕吧
1207,超人是吧
1208,和之前那个博德之门3一个公司出的
1209,我有美区ID
1210,钱给到位有啥不行
1211,芜湖
1212,烟鬼
1213,英伟达被两个A抄的裤衩都不剩了
1214,的确小众，毕竟人家的目标群体是那20%
1215,ipad形状
1216,这个我也深表同意…
1217,帅麻了
1218,前面的，phi可以（不是小鬼）
1219,就这好好意思说？
1220,装逼
1221,前面的，iPadOS16的，你15肯定用不了，要到官网拿测试，
1222,这个很不错
1223,这个好，不用一直停留在界面了
1224,？？？？
1225,方 向 对 了
1226,这个好
1227,？？？
1228,苹果小额贷款（中国）有限公司（doge）
1229,急に日本語でビビったww
1230,这踩点太爽了
1231,棒呆了
1232,反复鞭尸
1233,这功能很先进？
1234,潮汐
1235,好像是无人深空，正在玩
1236,马上就会告诉你，主流厂商包括BBA都支持
1237,看右下角
1238,当你打开mac工作，你会打开Windows（~~）
1239,我看到了安卓机的影子
1240,笑死 我天天用 深圳通 就是苹果钱包
1241,滴答清单！
1242,这B格装的
1243,求BGM
1244,全体起立
1245,woc，nb
1246,哈哈哈这个牌
1247,这太棒了
1248,整天用纯黑壁纸的我 感觉没啥用
1249,好大
1250,罗永浩粉丝真的烦，一个营销传销段子手整天叽叽歪歪
1251,coooool
1252,张美玉学姐是你吗
1253,比的i7 1255U
1254,link start!
1255,还是外国的受众
1256,牛逼
1257,实况文本真的好用
1258,头发好美
1259,这不就是抄安卓的主题吗？
1260,前面的瞎说，支架499好吗
1261,安卓的个性化主题？
1262,细啊
1263,不懂问有什么用的人
1264,这个动画看的真是舒服
1265,o h h h h h h
1266,牛逼
1267,试问有哪个车厂给apple这么大权限 连仪表盘也接管？？？
1268,watch的功能
1269,库克是做库存管理出身的，不是技术
1270,这功能一直想要
1271,mac上safari比chrome好用太多了
1272,为什么他们的“毫斯”都这么大
1273,你有没有想过是这个视频的问题不是官方录播的问题。录播的都能调整怎么可能掉帧
1274,卧槽这个牛逼了
1275,刘海好看
1276,我也觉得cool，你有问题？
1277,哈哈哈以后就叫你搞笑男吧
1278,这种功能讲这么细，真是无语了，上来就催眠
1279,为什么要用耶稣做头像啊……
1280,Apple味的主题
1281,超级大国就这样？
1282,老嫂子的声线
1283,撤回 重新编辑？
1284,这印度口音 害怕
1285,我总觉得 国产机都有过这些
1286,EVA?
1287,花呗
1288,问有什么用的那位是每天都只穿一个颜色的衣服吗
1289,可以可以
1290,好棒啊！！！！
1291,xswl
1292,现在分为世界品牌和中国品牌 不互通
1293,来了来了
1294,没有字幕需要底下有个字幕按钮 点开就行
1295,没有字幕需要底下有个字幕按钮 点开就行
1296,好家伙
1297,←国内资本会考虑这个？
1298,这可以啊
1299,EVE
1300,该死 又到了苹果time了
1301,问有什么用？ 可以更美观 这就是用处
1302,牛逼
1303,好帅
1304,如果腾讯吧lol适配mac的话立刻就卖不犹豫
1305,太好看 了吧
1306,好家伙，全家iPhone计划
1307,你为了工作买了mac，然后你还不能奢望这么一台优秀的笔记本能玩游戏？
1308,果然有动作了
1309,中国震怒
1310,！牛逼
1311,好！好！
1312,《查看哪个B……站用户在你家门口》
1313,苹果前几年还推出过信用卡呢，后来国内厂商纷纷跟进，你猜猜它们是不是科技公司？
1314,帅
1315,都免息的还要挑刺？啧啧
1316,全面对标母公司
1317,这个要是支持数字人民币就好了，不过可惜应该没机会
1318,好
1319,极氪 比亚迪
1320,这个好
1321,卧槽
1322,果黑：PS的裤衩都被抄没了！
1323,割绳子草
1324,500尼特，户外办公够呛
1325,这个是抄的谁的裤衩？安卓党出来说下？
1326,没改变说挤牙膏，现在可自定义高了又说拥挤，不会说话建议闭嘴
1327,运动+Swift Playgrounds?
1328,为何没有apple music
1329,鸿蒙又有抄的了
1330,哈哈哈，航路规划能力
1331,早晚整成触屏版macos
1332,多邻国好评
1333,《鸡肋》
1334,please support Aplipay
1335,苹果创世的时候不那么认为
1336,这功能终于复活了？
1337,这个之前说过了啊，还没登陆么
1338,真得劲
1339,别社恐了，现在很多线上协作工具都这样
1340,高德？
1341,...
1342,疫情以来苹果针对线上活动整了不少东西啊
1343,不知道这个挂载硬件的东西有没有开放，整点活儿也好
1344,so。。。。
1345,应该也准备接班了
1346,这个强迫症真爽（踩点
1347,弹幕叫嚣的，你猜这合作是谁求谁？
1348,其实mac还是比较小众的生产力工具，保有量很难让厂商专门针对优化
1349,这个是各种酒店（邮轮）集团，可以共享房卡
1350,一款生化危机8，果粉赢了，一统天下了。。。
1351,嘿，适配了也未必，你可以去搜搜支持mac的大作实机
1352,微软行为
1353,早上好 钱备好 电脑硬件少不了
1354,小米好意思说，华为最先做。（华为都没说话
1355,你真逗，人家也得卖啊
1356,haha
1357,苹果是不是太强调亲友的“协作”了
1358,我觉得是全世界所有的技术都ban了Flash
1359,真是先进的技术呢
1360,和蔡徐坤一样厉害（doge
1361,特斯拉格格不入了
1362,腾讯文档呗
1363,中国怎么可能让苹果测绘地图
1364,生化危机8不算游戏是吧
1365,特斯拉咋办
1366,dlss?
1367,GTA6新主角？
1368,可以用b站自带的翻译字幕，中间下面
1369,极为先进
1370,好好
1371,哈哈哈哈
1372,？
1373,花里胡哨的苹果
1374,说的是6800h？
1375,这个功能好
1376,这个太需要了
1377,这些在中国都不会有
1378,我想说，锤子的第一代系统，就已经实现了无遮挡的锁屏壁纸，底部解锁滑块还带呼吸效果。记得嘛大家
1379,电影票也好用
1380,数据不在是数据而是能引导你变化的状态量
1381,好看
1382,加强版腾讯文档？
1383,蔡徐坤
1384,？
1385,Mac端还是Chrome好用一点
1386,不加入大家庭，最终的结果就是被淘汰
1387,我在看漫威？
1388,这些都不算游戏吧？
1389,这么帅
1390,来了
1391,我想我应该算是“人”吧？
1392,????????
1393,这都是啥啊
1394,wooooo
1395,?????
1396,niu
1397,计算器呢！
1398,什么时候可以吃鸡
1399,太鸡肋了
1400,好看
1401,老男人真tm帅
1402,苹果作为一家科技公司，居然也干起这种行当
1403,抖一下…屏幕直接面向大地
1404,good
1405,把任天堂和sony 一起收购了吧
1406,好好好好
1407,不能 刚才说过了 基于M1的内存交换技术
1408,现在mac上safari网页图片直接复制，体验太棒了
1409,这展示了个啥
1410,还有讴歌
1411,？？？？？？？？卧槽，直接抠图
1412,我的mac邮件已经挂了很久了
1413,????
1414,卧槽！
1415,和国内 根本不是一个宇宙的
1416,？？？？
1417,终于不用第三方工具了
1418,爱奇艺的服务在国外也有？？
1419,想抢鸿蒙市场
1420,黑白
1421,小米呢
1422,所以真的会有人用MAC玩游戏???
1423,MacBook Air是最纤薄的 你不知道？
1424,弹幕是吧
1425,直接抠图
1426,牛逼啊
1427,中国估计上不了
1428,库存克星
1429,volvo国内能不阉割吗
1430,BMW的新3/5系也是这样的屏幕
1431,确实超乎想象
1432,iMiUI
1433,？？？？？？？？？？？
1434,刘海好看
1435,小米：？？？
1436,downtown
1437,新颜色好看
1438,。。。这不是aw的功能吗
1439,卧槽 自动扣图
1440,哈哈哈 真实
1441,这...
1442,66666666
1443,小米有自己的生态圈和协议 需要别的吗？
1444,我笑死了
1445,说对表小米的先买块apple watch
1446,牛逼
1447,"这个布局盲猜奔驰C,S还有没发的新E"
1448,真的帅
1449,"BWM呢,上次我记得还是拿BWM演示的"
1450,我最爱用了。尤其机票非常好用
1451,surface laptop表示熟悉
1452,丰田对新技术是真的不能指望了
1453,华为的问界不是挺厉害的么
1454,确实CARPLAY方便快捷
1455,没有泳池
1456,5nm+
1457,好耶
1458,第一句肯定是good morning and welcome
1459,这个有点NB了
1460,笑死
1461,无语，怎么还有刘海
1462,这不是Apple watch的表盘功能吗
1463,澳门赌博还有么
1464,好看
1465,牙膏，不该还是能打
1466,骗子！不存在的app
1467,卧槽！
1468,WTF
1469,真好看
1470,没有，下一个
1471,Aqara c位
1472,微软早就有了 荣耀算什么东西
1473,这人好拽啊
1474,我还挺喜欢用苹果导航的，很简洁
1475,没有小米
1476,确实返祖，iOS9就是大封面锁屏，这个只是加了个动画
1477,来了M2
1478,哈哈哈哈太搞笑了
1479,认真的？？
1480,统一风格啊
1481,杠精呢？？？？
1482,锤科one step下方子公司
1483,？？？？？
1484,库克是要退休了吗？发布会只是点题和总结出现
1485,可以可以
1486,锤子手机分屏思路下放了
1487,你说是就是吧
1488,这样很方便
1489,好啊
1490,nice
1491,6666
1492,woc
1493,还热乎呢
1494,这个有用
1495,好用
1496,帅呀
1497,哈哈哈哈 讲个笑话：mac玩游戏
1498,好诡异….
1499,价格劝退
1500,空降
1501,我觉着楔形更显纤薄
1502,纤薄？
1503,能让他测绘？这几个国家哪个和美国关系不好？
1504,？？？？
1505,不能
1506,这就有点np了啊
1507,比亚迪666 
1508,wow
1509,放最大三指滑动不就行了？
1510,ze'h
1511,日產也還可以
1512,可惡，沒有豐田
1513,这广告拍的领先国内一个世纪
1514,母公司技术下放
1515,啥是爱奇艺
1516,2022年，ipad终于可以看天气了
1517,iPad pro已经比很多轻薄本性能强了，软件没有对应适配的功能而已。
1518,早干嘛去了。。。
1519,WOW
1520,越狱今天就能用
1521,公交卡很方便
1522,！！！！
1523,Apple 最佳开发者 Microsoft 来了
1524,洛圣都国际机场（LSIA）！
1525,没有米家？
1526,就iOS 16被遮住点
1527,？？？撤回？
1528,？
1529,点错了一下，把正在观看的 p……hub 的网页分享群发了
1530,你说是就是吧
1531,no国区
1532,居然没有丰田，丰田还不屈服啊！
1533,蒸蒸日上！
1534,人家说的是下个版本啊，你现在试验哈哈哈哈
1535,歌词功能呢
1536,苹果是故意把air边框做粗吗？
1537,运行一下 老头环 看看效果如何
1538,几年了
1539,讯飞输入法
1540,这些都是本来就应该有的啊
1541,"Good morning, and wlcome to WWDC."
1542,呦这不手工耿吗
1543,默默问一句，A12X设备能用嘛。
1544,用不了啊
1545,yue
1546,我虽然有了，在pc上玩过一遍了，但是如果你上Mac，我就买个看看Air跑的怎么样。
1547,来了
1548,日本人？
1549,母公司技术下放
1550,苹果你终于意识到这个问题了
1551,老罗牛逼
1552,66666
1553,这辈子能用上刷门禁卡吗
1554,什么房产销售
1555,Cool
1556,在国外这个确实还没有
1557,这种支持片假名吗 我怕片假名翻译成谐音汉字
1558,字幕在下面
1559,太棒了 
1560,还是不如电脑 谁会用ipad办公啊 除了记笔记和画画
1561,在锁屏壁纸上露出人脸，这根本不重要好吗
1562,互联网公司的尽头是借贷
1563,牛逼
1564,阿？？？苹果？？
1565,感觉这在中国用不上多少啊 尤其是iMessage
1566,……无语了
1567,返祖现象
1568,不得不说，苹果这部分相比国内厂商五五开了
1569,我的Air过时啦。呜呜呜才买一年
1570,...计算器呢
1571,卧槽！一直想要这个
1572,这也太阿拉伯了吧
1573,额电脑真不适合直平面
1574,这又是之前荣耀开发的功能
1575,苹果这几年是对直角边有什么执着吗
1576,pdd警告
1577,aiqiyi
1578,这有什么用
1579,离谱 终于有天气了
1580,个手机来什么全景声？
1581,罗永浩one step是吧
1582,全面对标小米
1583,这不就是Windows phone的功能吗
1584,终于有天气了
1585,字幕在哪呢
1586,这个不错
1587,这是哪国口语啊，好奇怪啊。
1588,集成网络软件
1589,听我说谢谢你
1590,要是在中国那表情包肯定是流汗黄豆（
1591,唱 跳 rap？
1592,简直是社恐的灾难场景，实时共享工作过程。。。
1593,笑死 中国是高德代理
1594,太酷了
1595,？
1596,6啊
1597,？？？
1598,我靠
1599,好看
1600,史诗级
1601,太“正确”了
1602,这么高的能效比啊
1603,NB！！！
1604,自己开啊
1605,对比三星Galaxy book2（12代i7
1606,忍住了不看新闻专门来看现场
1607,A15X
1608,哇塞
1609,爱奇艺厉害了
1610,弹幕呢
1611,沒有中國唄
1612,牛逼
1613,姿势极其嚣张
1614,这个好
1615,神界原罪2
1616,这段有点gay。。
1617,哈哈哈哈哈
1618,二百五十六
1619,爱奇艺很正常，本来就是美股上市的
1620,蘋果免息花唄
1621,全靠同行承托
1622,牛逼
1623,公交卡啊
1624,前面的你要笑死我
1625,牛逼
1626,这个可以有
1627,小米：底裤
1628,8错
1629,耶
1630,不用就不用 刷什么存在感
1631,apple music 和app store也要用钱包
1632,哈哈哈
1633,坐公交和地铁很方便
1634,全面对标MiUI
1635,好
1636,IRON MAN？
1637,技术下放子公司了
1638,没有字幕呀
1639,笑死，根本不用苹果钱包
1640,！这功能牛逼
1641,爱奇艺？！
1642,说实话不如长按空格键好
1643,？
1644,简称：在中国不常用
1645,？
1646,啊对对对
1647,6666
1648,太秀了
